,x,y
bluff,51.992264,-17.234026
c,59.82269,-17.671488
slip,-35.414864,24.163069
han,-43.909554,22.132278
forgot,1.5566673,52.18915
lucy,70.09546,14.896488
ann,68.59182,11.591383
bein,-15.837884,30.518091
cookin,-15.737154,-36.15227
shoot,-18.37377,13.668233
thread,-65.99318,-19.087107
however,20.084118,3.7592652
whenever,18.700926,-7.356904
drunk,-23.277243,-18.893023
pig,-34.40841,-52.606533
memphis,51.52386,-15.682848
hall,66.74402,1.1659477
order,21.969732,-10.481588
lie,11.103959,44.414467
rail,-48.68752,-13.315352
apple,-31.808321,-34.856903
florida,56.705334,-9.913461
singin,0.7201183,10.393493
outside,-5.054879,-40.752476
belief,23.205069,27.48137
education,27.727497,40.88034
recall,20.26133,10.02673
finger,-58.230774,3.9527931
luck,-34.501686,6.411674
either,-4.0343337,35.081974
west,25.165648,-41.803223
party,-17.490707,-14.049086
section,34.245495,-5.3349476
served,16.973246,-14.063489
drive,-0.40049583,-22.9623
whup,-11.304779,19.22425
although,27.417246,10.612077
laugh,-26.964447,56.94361
stuff,-28.535707,-38.515472
grave,-34.71841,-14.53883
tail,-50.117985,6.9144826
homemade,-59.856956,-24.970608
fat,-40.567917,-41.422268
charlie,54.76885,12.813805
bank,32.782963,-48.896633
sense,18.598932,41.609116
quilt,-57.027588,-17.443693
cane,-30.902847,-46.620396
sarah,66.610985,9.118834
fightin,-11.962615,25.528454
missy,-17.08149,55.027218
bright,7.4339566,-45.67673
columbia,58.960663,-18.562414
loom,-64.84582,-20.536522
whether,29.030321,19.76149
throw,-47.515636,6.87089
rain,-52.351936,-23.752007
moore,58.362858,4.8177223
bucket,-40.410423,-27.718096
spirit,22.048708,28.89491
thousand,28.396759,-18.751791
tired,-10.869444,-22.473473
plant,-20.917572,-46.58853
horn,-30.505955,0.530958
building,18.342268,-42.37223
thirty,27.416618,-15.386776
cum,-37.21924,36.796825
sat,-3.4332516,-35.16976
memory,20.637367,13.864291
allow,17.968649,-2.7916458
proud,-16.654608,4.847473
fiel,-15.131195,-42.807293
evvy,-26.271801,32.327446
brush,-40.199352,-13.476185
shop,22.540306,-32.116558
trying,2.8075335,0.18367402
chimney,-43.688927,-22.913069
sung,0.6604934,11.778342
meant,2.0907393,40.38796
vegetable,-26.674562,-42.196262
voice,0.55302966,14.088427
hope,1.2458066,55.657112
regular,21.275343,-7.731512
evening,-14.347927,-24.586107
knee,-52.327293,-0.6784112
watch,-24.782095,-24.696978
bird,-25.138323,-7.771293
coffin,-34.975384,-13.672346
following,25.461277,3.6040382
pile,-26.719053,-15.958429
somewhere,37.9192,-31.281454
inside,-0.9134831,-41.316574
farmer,56.87028,-3.2727067
wheel,-67.01535,-20.765244
gray,-60.822926,-1.1244081
